Run,time,temp,solvent,et_w,pg_w,gly_w
1,51,39,20,35.0,30.0,46.0
2,170,39,20,30.2,24.0,45.0
3,51,81,20,30.0,38.7,39.7
4,170,81,20,29.8,31.0,44.4
5,51,39,80,9.5,28.0,27.0
6,170,39,80,9.3,28.1,31.3
7,51,81,80,9.5,20.6,21.0
8,170,81,80,13.85,20.8,21.0
9,10,60,50,33.4,64.0,52.0
10,210,60,50,23.0,33.7,42.0
11,110,25,50,11.1,37.0,57.0
12,110,95,50,16.5,33.0,55.2
13,110,60,0,48.0,47.7,47.9
14,110,60,100,0.01,20.2,28.29
15,110,60,50,35.0,35.0,40.0
16,110,60,50,33.0,29.0,39.0
17,110,60,50,33.0,37.0,43.0
18,110,60,50,34.0,37.0,40.1
19,110,60,50,34.0,31.0,41.0
20,110,60,50,34.0,38.0,36.5
